dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2)
39.8,0.0,19.455,-0.048069
39.9,0.0,19.455,-0.048069
40.0,0.0,19.455,-0.048069
40.1,0.0,19.455,-0.048069
40.2,0.0,19.455,-0.048069
40.3,0.0,19.455,-0.048069
40.4,0.0,19.455,-0.048069
40.5,0.0,19.455,-0.048069
40.6,0.0,19.455,-0.048069
40.7,0.0,19.455,-0.048069
40.8,0.0,19.455,-0.048069
40.9,0.0,19.455,-0.048069
41.0,0.0,19.455,-0.048069
41.1,0.0,19.455,-0.048069
41.2,0.0,19.455,-0.048069
41.3,0.0,19.455,-0.048069
41.4,0.0,19.455,-0.048069
41.5,0.0,19.455,-0.048069
41.6,0.0,19.455,-0.048069
41.7,0.0,19.455,-0.048069
41.8,0.0,19.455,-0.048069
41.9,0.0,19.455,-0.048069
42.0,0.0,19.455,-0.048069
42.1,0.0,19.455,-0.048069
42.2,0.0,19.455,-0.048069
42.3,0.0,19.455,-0.048069
42.4,0.0,19.455,-0.048069
42.5,0.0,19.455,-0.048069
42.6,0.0,19.455,-0.048069
42.7,0.0,19.455,-0.048069
42.8,0.0,19.455,-0.048069
42.9,0.0,19.455,-0.048069
43.0,0.0,19.455,-0.048069
43.1,0.0,19.455,-0.048069
43.2,0.0,19.455,-0.048069
43.3,0.0,19.455,-0.048069
43.4,0.0,19.455,-0.048069
43.5,0.0,19.455,-0.048069
43.6,0.0,19.455,-0.048069
43.7,0.0,19.455,-0.048069
43.8,0.0,19.455,-0.048069
43.9,0.0,19.455,-0.048069
44.0,0.0,19.455,-0.048069
44.1,0.0,19.455,-0.048069
44.2,0.0,19.455,-0.048069
44.3,0.0,19.455,-0.048069
44.4,0.0,19.455,-0.048069
44.5,0.0,19.455,-0.048069
44.6,0.0,19.455,-0.048069
44.7,0.0,19.455,-0.048069
44.8,0.0,19.455,-0.048069
44.9,0.0,19.455,-0.048069
45.0,-0.1,19.455,-0.048069
45.0,-0.1,19.554,0.0
45.0,-0.1,19.653,0.014715
45.0,-0.1,19.793,-0.033354
45.0,-0.1,19.851,-0.01962
