timestamp(s),Cons_FC_PB,Cons_FC_P1,Cons_FC_P2,Cons_FC_P3,Ilum_PB,Ilum_P1,Ilum_P2,Ilum_P3,Temp_PB,Temp_P1,Cons_Ref,Cons_Vent,TOTAL
435600.0,0.0,579.90756982002,0.0,0.0,0.0,0.0,0.0,0.0,26.9028653276906,28.312692175072,7789.14717261503,0.0,44871.3785545324
439200.0,0.0,392.202526336642,0.0,0.0,0.0,0.0,0.0,0.0,26.8114025691277,28.2339289611762,7454.83144870704,0.0,44344.6828568315
442800.0,0.0,353.046935595064,0.0,0.0,0.0,0.0,0.0,0.0,26.673959008482,28.0753430908215,6760.39178891211,0.0,43602.7594812711
446400.0,0.0,314.69525033866,0.0,0.0,0.0,0.0,0.0,0.0,26.5241550533747,27.8954339029695,6171.88242661983,0.0,42967.6293870022
450000.0,0.0,301.934113250409,0.0,0.0,0.0,0.0,0.0,0.0,26.4297024134783,27.8051670910759,6051.00591507432,0.0,42832.2893497214
453600.0,69.31875,280.505311336927,0.0,0.0,2891.455928349999,0.0,0.0,0.0,24.0785858546687,27.7286022364405,18409.6728699523,5165.258906439991,62748.1763805405
457200.0,0.0,264.268161647818,0.0,0.0,5782.91185669999,0.0,0.0,0.0,23.5977726705929,27.6310310190169,18970.7491492524,7544.721151128871,75127.5313014392
460800.0,0.0,284.736944284602,0.0,0.0,5782.91185669999,0.0,0.0,0.0,23.6074401636659,27.6644936701971,21003.4362835255,7544.721151128871,79075.6010281578
464400.0,0.0,420.807655326514,0.0,0.0,5782.91185669999,0.0,0.0,0.0,24.2518082825354,27.9419480902677,26627.978372773,7544.721151128871,76990.4197262057
468000.0,930.543546053212,737.172565241068,0.0,0.0,5782.91185669999,0.0,0.0,0.0,25.4214836393592,28.4662652634527,37042.3865243539,7544.721151128871,78676.9278541755
471600.0,1195.425,1004.97506149308,0.0,0.0,5782.91185669999,0.0,0.0,0.0,26.1914445333237,28.8694268011513,41878.674861817,7544.721151128871,72390.1682380806
475200.0,597.712499999998,1105.54873028979,0.0,0.0,5782.91185669999,0.0,0.0,0.0,27.1416705939307,29.0080308452971,19931.1136478122,1189.731122344443,34892.0873896564
478800.0,0.0,1122.43188106566,0.0,0.0,5782.91185669999,0.0,0.0,0.0,27.5611343026882,29.1522994738734,12454.7448455882,0.0,20605.120432029
482400.0,0.0,1121.70891627054,0.0,0.0,0.0,0.0,0.0,0.0,27.4462367729361,29.2508317722327,12106.999258076,0.0,13738.2954707986
486000.0,0.0,1110.73875350321,0.0,0.0,0.0,0.0,0.0,0.0,27.3069158951609,29.2786308313997,10370.3227236804,0.0,-1148.55405819423
489600.0,0.0,1086.4672856024,0.0,0.0,0.0,0.0,0.0,0.0,27.2486439445359,29.2819734494807,9952.49065227015,0.0,6759.81768137318
493200.0,0.0,1079.25831935684,0.0,0.0,0.0,0.0,0.0,0.0,27.2177014585564,29.3111394014211,9814.71731752506,0.0,18157.6906045624
496800.0,0.0,942.440408120667,0.0,0.0,0.0,0.0,0.0,0.0,27.1984942515198,29.3098640827895,9743.92026916238,0.0,30018.1813845471
500400.0,0.0,784.119043874045,0.0,0.0,0.0,0.0,0.0,0.0,27.1426745976359,29.2344564070377,9358.43095602511,0.0,38384.962832107
504000.0,0.0,737.169908498444,0.0,0.0,0.0,0.0,0.0,0.0,27.0451397998697,29.1085798892437,8825.84353391442,0.0,44830.7889604502
