timestamp(s),s1,s2,s3,s4,s5,s6
6560,90,55,170,86,90,10
6570,90,55,170,86,90,10
6580,90,55,170,86,90,10
6590,90,55,170,86,90,10
6600,90,55,170,86,90,10
6610,90,55,170,86,90,10
6620,90,55,170,86,90,10
6630,90,55,170,86,90,10
6640,90,55,170,86,90,10
6650,90,55,170,86,90,10
6660,90,55,170,86,90,10
6670,90,55,170,86,90,10
6680,90,55,170,86,90,10
6690,90,55,170,86,90,10
6700,90,55,170,86,90,10
6710,90,55,170,86,90,10
6720,90,55,170,86,90,10
6730,90,55,170,86,90,10
6740,90,55,170,86,90,10
6750,90,55,170,86,90,10
6760,90,55,170,86,90,10
6770,90,55,170,86,90,10
6780,90,55,170,86,90,10
6790,90,55,170,86,90,10
6800,90,55,170,86,90,10
6810,90,55,170,86,90,10
6820,90,55,170,86,90,10
6830,90,55,170,86,90,10
6840,90,55,170,86,90,10
6850,90,55,170,86,90,10
6860,90,55,170,86,90,10
6870,90,55,170,86,90,10
6880,90,55,170,86,90,10
6890,90,55,170,86,90,10
6900,90,55,170,86,90,10
6910,90,55,170,86,90,10
6920,90,55,170,86,90,10
6930,90,55,170,86,90,10
6940,90,55,170,86,90,10
6950,90,55,170,86,90,10
6960,90,55,170,86,90,10
6970,90,55,170,86,90,10
6980,90,55,170,86,90,10
6990,90,55,170,86,90,10
7000,90,55,170,86,90,10
7010,90,55,170,86,90,10
7020,90,55,170,86,90,10
7030,90,55,170,86,90,10
7040,90,55,170,86,90,10
7050,90,55,170,86,90,10
7060,90,55,170,86,90,10
7070,90,55,170,86,90,10
7080,90,55,170,86,90,10
7090,90,55,170,86,90,10
7100,90,55,170,86,90,10
7110,90,55,170,86,90,10
7120,90,55,170,86,90,10
7130,90,55,170,86,90,10
7140,90,55,170,86,90,10
7150,90,55,170,86,90,10
7160,90,55,170,86,90,10
7170,90,55,170,86,90,10
7180,90,55,170,86,90,10
7190,90,55,170,86,90,10
7200,90,55,170,86,90,10
7210,90,55,170,86,90,10
7220,90,55,170,86,90,10
7230,90,55,170,86,90,10
7240,90,55,170,86,90,10
7250,90,55,170,86,90,10
7260,90,55,170,86,90,10
7270,90,55,170,86,90,10
7280,90,55,170,86,90,10
7290,90,55,170,86,90,10
7300,90,55,170,86,90,10
7310,90,55,170,86,90,10
7320,90,55,170,86,90,10
7330,90,55,170,86,90,10
7340,90,55,170,86,90,10
7350,90,55,170,86,90,10
7360,90,55,170,86,90,10
7370,90,55,170,86,90,10
7380,90,55,170,86,90,10
7390,90,55,170,86,90,10
7400,90,55,170,86,90,10
7410,90,55,170,86,90,10
7420,90,55,170,86,90,10
7430,90,55,170,86,90,10
7440,90,55,170,86,90,10
7450,90,55,170,86,90,10
7460,90,55,170,86,90,10
7470,90,55,170,86,90,10
7480,90,55,170,86,90,10
7490,90,55,170,86,90,10
7500,90,55,170,86,90,10
7510,90,55,170,86,90,10
7520,90,55,170,86,90,10
7530,90,55,170,86,90,10
7540,90,55,170,86,90,10
7550,90,55,170,86,90,10
7560,90,55,170,86,90,10
7570,90,55,170,86,90,10
