timestamp(s),accel(m/s2),events,average_time_between_events,normalized_average_time_between_events
59.678,-0.004905,-,6.1245,0.984171621
59.76,0,-,6.1245,0.984171621
59.9,-0.00981,-,6.1245,0.984171621
59.958,-0.004905,-,6.1245,0.984171621
60.056,-0.01962,-,6.1245,0.984171621
60.155,-0.014715,-,6.1245,0.984171621
60.298,0,-,6.1245,0.984171621
60.352,-0.014715,-,6.1245,0.984171621
60.451,-0.004905,-,6.1245,0.984171621
60.55,-0.014715,-,6.1245,0.984171621
60.676,-0.004905,-,6.1245,0.984171621
60.747,0,-,6.1245,0.984171621
60.846,0,-,6.1245,0.984171621
60.945,-0.014715,-,6.1245,0.984171621
61.043,-0.004905,-,6.1245,0.984171621
61.142,0.004905,-,6.1245,0.984171621
61.24,-0.00981,-,6.1245,0.984171621
61.34,0,-,6.1245,0.984171621
61.438,-0.01962,-,6.1245,0.984171621
61.542,0.00981,-,6.1245,0.984171621
61.636,0,-,6.1245,0.984171621
61.734,0.004905,-,6.1245,0.984171621
61.834,-0.004905,-,6.1245,0.984171621
61.932,-0.014715,-,6.1245,0.984171621
62.03,0,-,6.1245,0.984171621
62.13,-0.004905,-,6.1245,0.984171621
62.228,-0.004905,-,6.1245,0.984171621
62.353,-0.01962,Down,6.1245,0.984171621
62.425,-0.01962,-,6.1245,0.984171621
62.524,-0.114777,-,6.1245,0.984171621
62.623,-0.254079,-,6.1245,0.984171621
62.722,-0.325692,-,6.1245,0.984171621
62.821,-0.546417,-,6.1245,0.984171621
62.94,-0.565056,-,6.1245,0.984171621
63.018,-0.671004,-,6.1245,0.984171621
63.117,-0.709263,-,6.1245,0.984171621
63.216,-0.722997,-,6.1245,0.984171621
63.316,-0.666099,-,6.1245,0.984171621
63.413,-0.699453,-,6.1245,0.984171621
63.531,-0.694548,-,6.1245,0.984171621
63.611,-0.694548,-,6.1245,0.984171621
63.751,-0.694548,-,6.1245,0.984171621
63.808,-0.699453,-,6.1245,0.984171621
63.907,-0.62784,-,6.1245,0.984171621
64.005,-0.464994,-,6.1245,0.984171621
64.138,-0.455184,-,6.1245,0.984171621
64.203,-0.302148,-,6.1245,0.984171621
64.302,-0.1962,-,6.1245,0.984171621
64.401,-0.104967,-,6.1245,0.984171621
64.499,0.023544,-,6.1245,0.984171621
64.598,-0.081423,-,6.1245,0.984171621
64.697,0.004905,-,6.1245,0.984171621
64.796,-0.01962,-,6.1245,0.984171621
64.895,0.048069,-,6.1245,0.984171621
64.993,-0.071613,-,6.1245,0.984171621
65.092,0.033354,-,6.1245,0.984171621
65.191,-0.086328,-,6.1245,0.984171621
65.289,0.081423,-,6.1245,0.984171621
65.4,-0.071613,-,6.1245,0.984171621
65.487,0.00981,-,6.1245,0.984171621
65.622,-0.071613,-,6.1245,0.984171621
65.684,0,-,6.1245,0.984171621
65.783,-0.023544,-,6.1245,0.984171621
65.882,-0.01962,-,6.1245,0.984171621
65.995,-0.028449,Brake,6.1245,0.984171621
66.08,0.033354,-,6.1245,0.984171621
66.178,-0.081423,-,6.1245,0.984171621
66.277,0.043164,-,6.1245,0.984171621
66.407,0.239364,-,6.1245,0.984171621
66.474,0.258984,-,6.1245,0.984171621
66.573,0.430659,-,6.1245,0.984171621
66.672,0.473823,-,6.1245,0.984171621
66.771,0.622935,-,6.1245,0.984171621
66.869,0.714168,-,6.1245,0.984171621
66.968,0.679833,-,6.1245,0.984171621
67.066,0.684738,-,6.1245,0.984171621
67.185,0.709263,-,6.1245,0.984171621
67.264,0.704358,-,6.1245,0.984171621
67.397,0.704358,-,6.1245,0.984171621
67.462,0.674928,-,6.1245,0.984171621
67.56,0.656289,-,6.1245,0.984171621
67.659,0.469899,-,6.1245,0.984171621
67.758,0.464994,-,6.1245,0.984171621
67.857,0.302148,-,6.1245,0.984171621
67.955,0.267813,-,6.1245,0.984171621
68.054,0.139302,-,6.1245,0.984171621
68.153,0.00981,-,6.1245,0.984171621
68.252,-0.014715,-,6.1245,0.984171621
68.351,0,-,6.1245,0.984171621
68.449,0.004905,Arrival,6.115,0.982645027
68.548,-0.052974,-,6.115,0.982645027
68.646,0,-,6.115,0.982645027
68.745,0,-,6.115,0.982645027
68.843,0.00981,-,6.115,0.982645027
68.943,-0.043164,-,6.115,0.982645027
69.063,-0.01962,-,6.115,0.982645027
69.14,0.00981,-,6.115,0.982645027
69.239,0,-,6.115,0.982645027
69.338,-0.023544,-,6.115,0.982645027
69.449,-0.033354,-,6.115,0.982645027
69.535,-0.004905,-,6.115,0.982645027
69.666,0.023544,-,6.115,0.982645027
69.732,-0.023544,-,6.115,0.982645027
69.831,-0.028449,-,6.115,0.982645027
69.93,-0.033354,-,6.115,0.982645027
70.042,0.038259,-,6.115,0.982645027
70.127,-0.028449,-,6.115,0.982645027
70.262,-0.043164,-,6.115,0.982645027
70.325,-0.014715,-,6.115,0.982645027
70.423,0.014715,-,6.115,0.982645027
70.523,0,-,6.115,0.982645027
70.621,-0.033354,-,6.115,0.982645027
70.719,0.104967,-,6.115,0.982645027
70.858,0.201105,-,6.115,0.982645027
70.917,0.244269,-,6.115,0.982645027
71.016,0.143226,-,6.115,0.982645027
71.115,0.038259,-,6.115,0.982645027
71.213,0.004905,-,6.115,0.982645027
71.311,-0.023544,-,6.115,0.982645027
71.41,0,-,6.115,0.982645027
71.509,0,-,6.115,0.982645027
71.609,-0.014715,-,6.115,0.982645027
71.707,-0.01962,-,6.115,0.982645027
71.805,0.01962,-,6.115,0.982645027
71.904,-0.023544,-,6.115,0.982645027
